,,,,,,,,,
Anzahl,GUID,NameDeutsch,DCL,ItemTyp,ausgerüstet in,Beeinflusst Gebäude,Buffs,Expedition,Seltenheit
0,114388,Champaka,Botanica,CultureItem,Botanischer Garten,HEILIG,Attraktivität(20) ,Expedition: Glaube (10) ,Ungewöhnlich
0,114389,Indisches Basilikum,Botanica,CultureItem,Botanischer Garten,HEILIG,Attraktivität(20) ,Expedition: Glaube (10) ,Ungewöhnlich
0,111106,Blaue Lotusblume,Botanica,CultureItem,Botanischer Garten,NAHOST,Attraktivität(40) ,,Episch
0,111109,Roter Tigerlotus,Botanica,CultureItem,Botanischer Garten,NAHOST,Attraktivität(40) ,,Episch
0,114657,Ackerwinde,Botanica,CultureItem,Botanischer Garten,NAHOST,Attraktivität(10) ,,Gewöhnlich
0,111123,Rhododendron,Botanica,CultureItem,Botanischer Garten,NAHOST,Attraktivität(20) ,,Ungewöhnlich
0,112735,Papyrus,Botanica,CultureItem,Botanischer Garten,NAHOST,Attraktivität(20) ,,Ungewöhnlich
0,112736,Wasserhyazinthe,Botanica,CultureItem,Botanischer Garten,NAHOST,Attraktivität(20) ,,Ungewöhnlich
0,111107,Steinkoralle,Botanica,CultureItem,Botanischer Garten,SARGASSOSEE,Attraktivität(30) ,,Selten
0,111113,Geweihkoralle,Botanica,CultureItem,Botanischer Garten,SARGASSOSEE,Attraktivität(20) ,,Ungewöhnlich
0,111121,Kokospalme,Botanica,CultureItem,Botanischer Garten,SARGASSOSEE,Attraktivität(20) ,,Ungewöhnlich
0,111122,Königspalme,Botanica,CultureItem,Botanischer Garten,SARGASSOSEE,Attraktivität(20) ,,Ungewöhnlich
0,112732,Kandelaberkoralle,Botanica,CultureItem,Botanischer Garten,SARGASSOSEE,Attraktivität(20) ,,Ungewöhnlich
0,114656,Strandflieder,Botanica,CultureItem,Botanischer Garten,SARGASSOSEE,Attraktivität(20) ,,Ungewöhnlich
0,111118,Felsengebirgs-Tanne,Botanica,CultureItem,Botanischer Garten,SUBALPIN,Attraktivität(10) ,,Gewöhnlich
0,112734,Schnee-Eukalyptus,Botanica,CultureItem,Botanischer Garten,SUBALPIN,Attraktivität(30) ,,Selten
0,111116,Zweiblütiger Steinbrech,Botanica,CultureItem,Botanischer Garten,SUBALPIN,Attraktivität(20) ,,Ungewöhnlich
0,111112,Schilfrohr,Botanica,CultureItem,Botanischer Garten,SUMPFGEBIET,Attraktivität(10) ,Expedition: Heilkunst (5) ,Gewöhnlich
0,112733,Echter Eibisch,Botanica,CultureItem,Botanischer Garten,SUMPFGEBIET,Attraktivität(30) ,Expedition: Heilkunst (30) ,Selten
0,111111,Seerose,Botanica,CultureItem,Botanischer Garten,SUMPFGEBIET,Attraktivität(20) ,Expedition: Heilkunst (10) ,Ungewöhnlich
0,112611,Indische Lotusblume,Botanica,CultureItem,Botanischer Garten,VERWUNSCHEN,Attraktivität(40) ,Expedition: Glaube (40) ,Episch
0,114543,Hanf,Botanica,CultureItem,Botanischer Garten,VERWUNSCHEN,Attraktivität(10) ,Expedition: Glaube (5) ,Gewöhnlich
0,114661,Mohn,Botanica,CultureItem,Botanischer Garten,VERWUNSCHEN,Attraktivität(10) ,Expedition: Glaube (5) ,Gewöhnlich
0,111117,Ziziphus,Botanica,CultureItem,Botanischer Garten,VERWUNSCHEN,Attraktivität(50) ,Expedition: Glaube (50) ,Legendär
0,111110,Amerikanische Lotusblume,Botanica,CultureItem,Botanischer Garten,VERWUNSCHEN,Attraktivität(30) ,Expedition: Glaube (30) ,Selten
0,114662,Wiesensalbei,Botanica,CultureItem,Botanischer Garten,VERWUNSCHEN,Attraktivität(20) ,Expedition: Glaube (10) ,Ungewöhnlich
0,114671,Bogenhanf,Botanica,CultureItem,Botanischer Garten,,Attraktivität(40) ,,Episch
0,114672,Stanhopea Insignis,Botanica,CultureItem,Botanischer Garten,,Attraktivität(40) ,,Episch
0,114673,Mezoischer Hornzapfen,Botanica,CultureItem,Botanischer Garten,,Attraktivität(40) ,,Episch
0,114674,Madeira-Natternkopf,Botanica,CultureItem,Botanischer Garten,,Attraktivität(40) ,,Episch
0,114540,Heidelbeere,Botanica,CultureItem,Botanischer Garten,,Attraktivität(10) ,,Gewöhnlich
0,114541,Holunder,Botanica,CultureItem,Botanischer Garten,,Attraktivität(10) ,,Gewöhnlich
0,114675,Titanwurz,Botanica,CultureItem,Botanischer Garten,,Attraktivität(50) ,,Legendär
0,114676,Wildprets Natternkopf,Botanica,CultureItem,Botanischer Garten,,Attraktivität(50) ,,Legendär
0,114677,Magische Farnblüte,Botanica,CultureItem,Botanischer Garten,,Attraktivität(50) ,,Legendär
0,114678,Heilige Moly,Botanica,CultureItem,Botanischer Garten,,Attraktivität(50) ,,Legendär
0,114679,Hades-Affodill,Botanica,CultureItem,Botanischer Garten,,Attraktivität(50) ,,Legendär
0,114665,Mondorchidee,Botanica,CultureItem,Botanischer Garten,,Attraktivität(30) ,,Selten
0,114666,Grannen-Schildfarn,Botanica,CultureItem,Botanischer Garten,,Attraktivität(30) ,,Selten
0,114667,Gungurru,Botanica,CultureItem,Botanischer Garten,,Attraktivität(30) ,,Selten
0,114668,Pinker Zuckerbusch,Botanica,CultureItem,Botanischer Garten,,Attraktivität(30) ,,Selten
0,114669,Strauchiges Brandkraut,Botanica,CultureItem,Botanischer Garten,,Attraktivität(30) ,,Selten
0,114670,Strand-Grasnelke,Botanica,CultureItem,Botanischer Garten,,Attraktivität(20) ,,Ungewöhnlich
0,190510,Minerva-Heiligtum,,CultureItem,Museum,ADLERREICH,Attraktivität(40) ,Expedition: Glaube (20) ,Episch
0,190512,Imperiumsadler-Mosaik,,CultureItem,Museum,ADLERREICH,Attraktivität(40) ,,Episch
0,190511,Augustus-Forum,,CultureItem,Museum,ADLERREICH,Attraktivität(50) ,,Legendär
0,112478,Mauer von Atlantis,SunkenTreasure,CultureItem,Museum,ATLANTIS,Attraktivität(50) ,,Legendär
0,112483,Tempel des Poseidon,SunkenTreasure,CultureItem,Museum,ATLANTIS,Attraktivität(50) ,,Legendär
0,112484,Gerichtshof,SunkenTreasure,CultureItem,Museum,ATLANTIS,Attraktivität(50) ,,Legendär
0,112485,Oreichalkos-Statue,SunkenTreasure,CultureItem,Museum,ATLANTIS,Attraktivität(50) ,,Legendär
0,112821,Gipfel von Atlantis,SunkenTreasure,CultureItem,Museum,ATLANTIS,Attraktivität(50) ,,Legendär
0,112824,Atlantische Tafel,SunkenTreasure,CultureItem,Museum,ATLANTIS,Attraktivität(50) ,,Legendär
0,190515,Brón-Dolmen,,CultureItem,Museum,BRONZEZEIT,Attraktivität(40) ,,Episch
0,190517,Menhire,,CultureItem,Museum,BRONZEZEIT,Attraktivität(40) ,,Episch
0,190519,Goidelischer Steinknoten,,CultureItem,Museum,BRONZEZEIT,Attraktivität(40) ,Expedition: Glaube (20) ,Episch
0,190514,Goidelischer Steinkreis,,CultureItem,Museum,BRONZEZEIT,Attraktivität(50) ,Expedition: Glaube (30) ,Legendär
0,190552,"Weißzahn, das Schwert von Rhydderch",,CultureItem,Museum,BRONZEZEIT,Attraktivität(50) ,Expedition: Glaube (30) ,Legendär
0,190539,Tara-Brosche,,CultureItem,Museum,BRONZEZEIT,Attraktivität(30) ,Expedition: Redegabe (10) ,Selten
0,115474,Wolfswelpen- Mumie,The Passage,CultureItem,Museum,EINGEFROREN,Attraktivität(40) ,Expedition: Glaube (30) ,Episch
0,114794,Eingefrorenes Wollhaarmammut,The Passage,CultureItem,Museum,EINGEFROREN,Attraktivität(50) ,Expedition: Glaube (40) ,Legendär
0,114637,Sammlung von Relikten der verschollenen Expedition,The Passage,CultureItem,Museum,EINGEFROREN,Attraktivität(30) ,,Selten
0,124884,Ghebbi-Diorama,Land of Lions,CultureItem,Museum,ENBESAS WURZELN,Attraktivität(40) ,,Episch
0,124885,Kidusisches Kirchen-Diorama,Land of Lions,CultureItem,Museum,ENBESAS WURZELN,Attraktivität(40) ,,Episch
0,124883,Die Bundeslade,Land of Lions,CultureItem,Museum,ENBESAS WURZELN,Attraktivität(50) ,Expedition: Kampfkraft (50) Glaube (30) ,Legendär
0,124871,Löwe von Selamawi,Land of Lions,CultureItem,Museum,ENBESAS WURZELN,Attraktivität(30) ,Expedition: Glaube (10) Redegabe (5) ,Selten
0,124875,Arksum-Obelisk,Land of Lions,CultureItem,Museum,ENBESAS WURZELN,Attraktivität(30) ,Expedition: Redegabe (-5) Glaube (5) ,Selten
0,124870,Ruhm der Könige,Land of Lions,CultureItem,Museum,ENBESAS WURZELN,Attraktivität(20) ,Expedition: Glaube (10) ,Ungewöhnlich
0,124881,Tambakto-Diorama,Land of Lions,CultureItem,Museum,ERBSTÜCKE DES GOLDENEN REICHS,Attraktivität(40) ,,Episch
0,124876,Schmuck von Masu Masu,Land of Lions,CultureItem,Museum,ERBSTÜCKE DES GOLDENEN REICHS,Attraktivität(30) ,,Selten
0,124877,Masus Mappa mundi,Land of Lions,CultureItem,Museum,ERBSTÜCKE DES GOLDENEN REICHS,Attraktivität(30) ,Expedition: Navigation (10) ,Selten
0,124878,Hor-Statue,Land of Lions,CultureItem,Museum,GÖTTER DES DELTAS,Attraktivität(40) ,,Episch
0,124879,Statue von Anubis,Land of Lions,CultureItem,Museum,GÖTTER DES DELTAS,Attraktivität(40) ,Expedition: Glaube (5) ,Episch
0,124880,Tempel-von-Nafir-Diorama,Land of Lions,CultureItem,Museum,GÖTTER DES DELTAS,Attraktivität(50) ,,Legendär
0,190473,Juanita die Mumie,,CultureItem,Museum,HUACA AUS DER NEUEN WELT,Attraktivität(40) ,Expedition: Glaube (-10) ,Episch
0,190496,Nazca-Grab,,CultureItem,Museum,HUACA AUS DER NEUEN WELT,Attraktivität(40) ,Expedition: Glaube (-10) ,Episch
0,190282,Affenzahnamulett,,CultureItem,Museum,HUACA AUS DER NEUEN WELT,Attraktivität(30) ,Expedition: Glaube (30) ,Selten
0,190503,Stegosaurus,,CultureItem,Museum,JURA,Attraktivität(40) ,,Episch
0,190549,Protoceratops-Eier,,CultureItem,Museum,JURA,Attraktivität(40) ,,Episch
0,190502,Tyrannosaurus Rex,,CultureItem,Museum,JURA,Attraktivität(50) ,,Legendär
0,190504,Apatosaurus,,CultureItem,Museum,JURA,Attraktivität(50) ,,Legendär
0,190505,Mosasaurus-Fossil,,CultureItem,Museum,JURA,Attraktivität(50) ,,Legendär
0,190483,Ammoniten,,CultureItem,Museum,JURA,Attraktivität(30) ,,Selten
0,190484,Die Ilias,,CultureItem,Museum,KULTUREN DER ÄGÄIS,Attraktivität(40) ,,Episch
0,190485,Die Odyssee,,CultureItem,Museum,KULTUREN DER ÄGÄIS,Attraktivität(40) ,,Episch
0,190508,Olympiatempel,,CultureItem,Museum,KULTUREN DER ÄGÄIS,Attraktivität(40) ,Expedition: Glaube (20) ,Episch
0,190513,Dionysisches Mosaik,,CultureItem,Museum,KULTUREN DER ÄGÄIS,Attraktivität(40) ,,Episch
0,190509,Tempel des Poseidon,,CultureItem,Museum,KULTUREN DER ÄGÄIS,Attraktivität(50) ,Expedition: Glaube (30) ,Legendär
0,190543,Enosichthon-Statue,,CultureItem,Museum,KULTUREN DER ÄGÄIS,Attraktivität(30) ,Expedition: Glaube (15) ,Selten
0,190518,Drachenboot-Schnitzerei,,CultureItem,Museum,NORDISCHE SAGEN,Attraktivität(40) ,,Episch
0,190470,Walkürenhelm,,CultureItem,Museum,NORDISCHE SAGEN,Attraktivität(50) ,Expedition: Glaube (15) ,Legendär
0,190480,Saemundar-Edda,,CultureItem,Museum,NORDISCHE SAGEN,Attraktivität(50) ,,Legendär
0,190493,Ring der Libenungen,,CultureItem,Museum,NORDISCHE SAGEN,Attraktivität(50) ,Expedition: Glaube (20) ,Legendär
0,190516,Altar von Uppsidaisi,,CultureItem,Museum,NORDISCHE SAGEN,Attraktivität(50) ,Expedition: Glaube (30) ,Legendär
0,190540,Heimskringla,,CultureItem,Museum,NORDISCHE SAGEN,Attraktivität(30) ,Expedition: Glaube (10) ,Selten
0,114798,Igluit,The Passage,CultureItem,Museum,RELIKTE VON THULE,Attraktivität(40) ,,Episch
0,115473,Uummannaq- Mumie,The Passage,CultureItem,Museum,RELIKTE VON THULE,Attraktivität(40) ,Expedition: Glaube (30) ,Episch
0,114796,Inunnguaq Inuksuk,The Passage,CultureItem,Museum,RELIKTE VON THULE,Attraktivität(30) ,Expedition: Redegabe (10) ,Selten
0,114799,Pirujaqarvik Inuksuk,The Passage,CultureItem,Museum,RELIKTE VON THULE,Attraktivität(30) ,Expedition: Redegabe (10) ,Selten
0,115472,Spielzeug-Qamutiik,The Passage,CultureItem,Museum,RELIKTE VON THULE,Attraktivität(30) ,,Selten
0,115471,Gemeißelter Steinbär,The Passage,CultureItem,Museum,RELIKTE VON THULE,Attraktivität(20) ,Expedition: Redegabe (10) ,Ungewöhnlich
0,190476,Barbarossas Knochen,,CultureItem,Museum,TOTENKOPF,Attraktivität(40) ,,Episch
0,190545,Verschollener Schatz von Ben Sahid,,CultureItem,Museum,TOTENKOPF,Attraktivität(40) ,,Episch
0,190551,Braunbarts Entermesser,,CultureItem,Museum,TOTENKOPF,Attraktivität(40) ,Expedition: Kampfkraft (5) ,Episch
0,112825,Admiral Nadaskys Säbel,SunkenTreasure,CultureItem,Museum,TRELAWNEY--SCHLACHT,Attraktivität(40) ,Expedition: Kampfkraft (30) ,Episch
0,113472,Imperiale Galionsfigur,SunkenTreasure,CultureItem,Museum,TRELAWNEY--SCHLACHT,Attraktivität(40) ,Expedition: Glaube (20) ,Episch
0,113473,Nadaskys Orden,SunkenTreasure,CultureItem,Museum,TRELAWNEY--SCHLACHT,Attraktivität(40) ,Expedition: Glaube (30) ,Episch
0,190506,Altamira-Höhlenmalereien,,CultureItem,Museum,URSPRUNG DER MENSCHHEIT,Attraktivität(40) ,,Episch
0,190475,Neanderthaler-Skelett,,CultureItem,Museum,URSPRUNG DER MENSCHHEIT,Attraktivität(50) ,,Legendär
0,190507,Höhlenmalereien von Valojoulx,,CultureItem,Museum,URSPRUNG DER MENSCHHEIT,Attraktivität(50) ,,Legendär
0,124867,Ring aus Rinder-Elfenbein,Land of Lions,CultureItem,Museum,VERGESSENE STÄMME,Attraktivität(10) ,,Gewöhnlich
0,124873,Figur von Mutter und Kind,Land of Lions,CultureItem,Museum,VERGESSENE STÄMME,Attraktivität(30) ,,Selten
0,124874,Eindrucksvolle Terrakottafigur,Land of Lions,CultureItem,Museum,VERGESSENE STÄMME,Attraktivität(30) ,,Selten
0,124882,Verzierte Lehmfliese,Land of Lions,CultureItem,Museum,VERGESSENE STÄMME,Attraktivität(30) ,,Selten
0,124868,Bemalte Maske,Land of Lions,CultureItem,Museum,VERGESSENE STÄMME,Attraktivität(20) ,Expedition: Jagdglück (5) ,Ungewöhnlich
0,124869,Tierfigur,Land of Lions,CultureItem,Museum,VERGESSENE STÄMME,Attraktivität(20) ,,Ungewöhnlich
0,190474,Takals Halskette,,CultureItem,Museum,VERSUNKENE STÄDTE,Attraktivität(40) ,Expedition: Redegabe (15) ,Episch
0,190497,Mesoanisches Haus,,CultureItem,Museum,VERSUNKENE STÄDTE,Attraktivität(40) ,,Episch
0,190500,Mesoanische Glyphen,,CultureItem,Museum,VERSUNKENE STÄDTE,Attraktivität(40) ,Expedition: Glaube (15) ,Episch
0,190498,Mesoanischer Hafen,,CultureItem,Museum,VERSUNKENE STÄDTE,Attraktivität(50) ,,Legendär
0,190499,Mesoanischer Tempel,,CultureItem,Museum,VERSUNKENE STÄDTE,Attraktivität(50) ,Expedition: Glaube (30) ,Legendär
0,190501,Mesoanischer Kalender,,CultureItem,Museum,VERSUNKENE STÄDTE,Attraktivität(50) ,Expedition: Navigation (30) ,Legendär
0,118148,Das Heilige Buch,Land of Lions,CultureItem,Museum,,Attraktivität(40) ,Expedition: Glaube (15) ,Episch
0,130938,Chroniken von Enbesa,Land of Lions,CultureItem,Museum,,Attraktivität(40) ,Expedition: Redegabe (15) ,Episch
0,190546,Leichentuch des Großen Königs,,CultureItem,Museum,,Attraktivität(40) ,Expedition: Glaube (25) ,Episch
0,190547,Diamant,,CultureItem,Museum,,Attraktivität(40) ,,Episch
0,190548,Goldener Kriegshelm,,CultureItem,Museum,,Attraktivität(40) ,Expedition: Kampfkraft (5) ,Episch
0,190550,Königlicher Goldring,,CultureItem,Museum,,Attraktivität(40) ,Expedition: Redegabe (15) ,Episch
0,192312,Ein altes Medaillon,,CultureItem,Museum,,Attraktivität(40) ,,Episch
0,192336,Ein schimmernder Stein,,CultureItem,Museum,,Attraktivität(40) ,,Episch
0,192355,Die verfluchte Mumie von Cabot,,CultureItem,Museum,,Attraktivität(40) ,Expedition: Glaube (-10) ,Episch
0,192356,Schneidezahn des verrückten Affens,,CultureItem,Museum,,Attraktivität(40) ,,Episch
0,192361,Wertvolle Kronjuwelen,,CultureItem,Museum,,Attraktivität(40) ,Expedition: Redegabe (20) ,Episch
0,192948,Zwanzigtausend Tage um die Mitte der Erde herum,,CultureItem,Museum,,Attraktivität(40) ,,Episch
0,192949,Die Ringe der Könige,,CultureItem,Museum,,Attraktivität(40) ,,Episch
0,190469,Primitiver Schleier,,CultureItem,Museum,,Attraktivität(10) ,Expedition: Heilkunst (10) ,Gewöhnlich
0,190482,Alte Frachtliste,,CultureItem,Museum,,Attraktivität(10) ,,Gewöhnlich
0,190492,Schlichte Kette,,CultureItem,Museum,,Attraktivität(10) ,,Gewöhnlich
0,190494,Hölzerner Ring,,CultureItem,Museum,,Attraktivität(10) ,,Gewöhnlich
0,190520,Volkserzählungen,,CultureItem,Museum,,Attraktivität(10) ,,Gewöhnlich
0,190521,Rostige Sesterzen,,CultureItem,Museum,,Attraktivität(10) ,Expedition: Glaube (5) ,Gewöhnlich
0,190522,Quarzkristalle,,CultureItem,Museum,,Attraktivität(10) ,,Gewöhnlich
0,190523,Bronzehelm,,CultureItem,Museum,,Attraktivität(10) ,Expedition: Kampfkraft (10) ,Gewöhnlich
0,190524,Hölzerner Schild,,CultureItem,Museum,,Attraktivität(10) ,Expedition: Kampfkraft (5) ,Gewöhnlich
0,190525,Beschädigte Statue,,CultureItem,Museum,,Attraktivität(10) ,,Gewöhnlich
0,190526,Bronzeschwert,,CultureItem,Museum,,Attraktivität(10) ,Expedition: Kampfkraft (10) ,Gewöhnlich
0,192364,Schaukelpferd,,CultureItem,Museum,,Attraktivität(10) ,Expedition: Glaube (10) ,Gewöhnlich
0,104052,Seltsame Figur,Empire of the Skies,CultureItem,Museum,,Attraktivität(50) ,Expedition: Redegabe (10) Glaube (15) ,Legendär
0,114795,Nachbildung der HMS Hades,The Passage,CultureItem,Museum,,Attraktivität(50) ,,Legendär
0,118122,Schätze von Sile'Amidos,Land of Lions,CultureItem,Museum,,Attraktivität(50) ,Expedition: Redegabe (10) ,Legendär
0,118594,Phönix-Ei,Land of Lions,CultureItem,Museum,,Attraktivität(50) ,,Legendär
0,118634,Karte von Sile'Amidos,Land of Lions,CultureItem,Museum,,Attraktivität(50) ,Expedition: Navigation (20) ,Legendär
0,124694,Lanze von Selamawi,Land of Lions,CultureItem,Museum,,Attraktivität(50) ,Expedition: Kampfkraft (10) Glaube (15) ,Legendär
0,129442,Vase von Sile'Amidos,Land of Lions,CultureItem,Museum,,Attraktivität(50) ,Expedition: Kampfkraft (10) Glaube (15) ,Legendär
0,130777,Alter Tabot von Waha Desher,Land of Lions,CultureItem,Museum,,Attraktivität(50) ,Expedition: Kampfkraft (10) Glaube (15) ,Legendär
0,130937,Chroniken von Enbesa,Land of Lions,CultureItem,Museum,,Attraktivität(50) ,Expedition: Redegabe (20) ,Legendär
0,192947,Morticromicron,,CultureItem,Museum,,Attraktivität(50) ,Expedition: Kampfkraft (50) Glaube (-30) ,Legendär
0,6055,Quipu,New World Rising,CultureItem,Museum,,Attraktivität(50) ,,Quest
0,104827,Simon Sarmentos Schwert,New World Rising,CultureItem,Museum,,Attraktivität(50) ,,Quest
0,104828,Figur von Hueyaca,New World Rising,CultureItem,Museum,,Attraktivität(50) ,,Quest
0,124872,Bullenkopf-Horn,Land of Lions,CultureItem,Museum,,Attraktivität(30) ,Expedition: Redegabe (10) ,Selten
0,130939,Chroniken von Enbesa,Land of Lions,CultureItem,Museum,,Attraktivität(30) ,Expedition: Redegabe (10) ,Selten
0,190468,Die Kunst der Medizin,,CultureItem,Museum,,Attraktivität(30) ,Expedition: Heilkunst (30) ,Selten
0,190472,Verrottende Mumie,,CultureItem,Museum,,Attraktivität(30) ,Expedition: Glaube (-10) ,Selten
0,190489,Jade-Perle,,CultureItem,Museum,,Attraktivität(30) ,,Selten
0,190536,Aureus-Münzen,,CultureItem,Museum,,Attraktivität(30) ,Expedition: Glaube (15) ,Selten
0,190537,Seidenstoff,,CultureItem,Museum,,Attraktivität(30) ,Expedition: Heilkunst (20) ,Selten
0,190538,Silberhelm,,CultureItem,Museum,,Attraktivität(30) ,Expedition: Kampfkraft (5) ,Selten
0,190541,Silberring,,CultureItem,Museum,,Attraktivität(30) ,Expedition: Redegabe (5) ,Selten
0,190542,Silberschild,,CultureItem,Museum,,Attraktivität(30) ,Expedition: Kampfkraft (5) ,Selten
0,190544,Silberschwert,,CultureItem,Museum,,Attraktivität(30) ,Expedition: Kampfkraft (5) ,Selten
0,192405,Familienerbstück der Harlowes,,CultureItem,Museum,,Attraktivität(30) ,Expedition: Glaube (10) Redegabe (5) ,Selten
0,113535,Kommodoreorden,SunkenTreasure,CultureItem,Museum,,Attraktivität(20) ,,Ungewöhnlich
0,118137,Arabesken-Schmuck,Land of Lions,CultureItem,Museum,,Attraktivität(20) ,Expedition: Redegabe (10) ,Ungewöhnlich
0,130945,Chroniken von Enbesa,Land of Lions,CultureItem,Museum,,Attraktivität(20) ,Expedition: Redegabe (5) ,Ungewöhnlich
0,190471,Mumienbandagen,,CultureItem,Museum,,Attraktivität(20) ,Expedition: Glaube (-10) ,Ungewöhnlich
0,190478,Antiker Roman,,CultureItem,Museum,,Attraktivität(20) ,,Ungewöhnlich
0,190481,Bemalte Steine,,CultureItem,Museum,,Attraktivität(20) ,,Ungewöhnlich
0,190487,Pyritkristalle,,CultureItem,Museum,,Attraktivität(20) ,,Ungewöhnlich
0,190527,Angelaufene Silbermünzen,,CultureItem,Museum,,Attraktivität(20) ,Expedition: Glaube (10) ,Ungewöhnlich
0,190528,Farbenfrohes Banner,,CultureItem,Museum,,Attraktivität(20) ,Expedition: Heilkunst (15) ,Ungewöhnlich
0,190529,Eisenhelm,,CultureItem,Museum,,Attraktivität(20) ,Expedition: Kampfkraft (10) ,Ungewöhnlich
0,190530,Silberkette,,CultureItem,Museum,,Attraktivität(20) ,Expedition: Redegabe (10) ,Ungewöhnlich
0,190532,Illuminiertes Manuskript,,CultureItem,Museum,,Attraktivität(20) ,,Ungewöhnlich
0,190533,Eisenschild,,CultureItem,Museum,,Attraktivität(20) ,Expedition: Kampfkraft (10) ,Ungewöhnlich
0,190534,Steinerne Statue,,CultureItem,Museum,,Attraktivität(20) ,,Ungewöhnlich
0,190535,Eisenschwert,,CultureItem,Museum,,Attraktivität(20) ,Expedition: Kampfkraft (10) ,Ungewöhnlich
0,190553,Kupferring,,CultureItem,Museum,,Attraktivität(20) ,,Ungewöhnlich
0,192359,Der von-Malching-Famlilienwimpel,,CultureItem,Museum,,Attraktivität(20) ,Expedition: Heilkunst (15) ,Ungewöhnlich
0,192360,Gasparovs Truhe der Schande,,CultureItem,Museum,,Attraktivität(20) ,Expedition: Geschick (10) ,Ungewöhnlich
0,192404,Register des Sklavenbesitzers,,CultureItem,Museum,,Attraktivität(20) ,,Ungewöhnlich
0,192415,Unvorteilhaftes Porträt von Artur,,CultureItem,Museum,,Attraktivität(20) ,,Ungewöhnlich
0,114153,Partitur 'Anno 2070',Botanica,CultureItem,Musikpavillon,,Attraktivität(40) ,,Episch
0,114154,Partitur 'Anno 2205',Botanica,CultureItem,Musikpavillon,,Attraktivität(40) ,,Episch
0,112487,Partitur 'Anno 1701',Botanica,CultureItem,Musikpavillon,,Attraktivität(50) ,,Legendär
0,114152,Partitur 'Anno 1404',Botanica,CultureItem,Musikpavillon,,Attraktivität(50) ,,Legendär
0,114155,Partitur 'Anno 1800',Botanica,CultureItem,Musikpavillon,,Attraktivität(30) ,,Selten
0,112811,Koboldhai,SunkenTreasure,CultureItem,,ABGRÜNDIGE TIEFEN,Attraktivität(40) ,,Episch
0,112812,Schwarzer Schlinger,SunkenTreasure,CultureItem,,ABGRÜNDIGE TIEFEN,Attraktivität(40) ,,Episch
0,190465,Tiefsee-Anglerfisch,SunkenTreasure,CultureItem,,ABGRÜNDIGE TIEFEN,Attraktivität(40) ,,Episch
0,112476,Der Krake,SunkenTreasure,CultureItem,,ABGRÜNDIGE TIEFEN,Attraktivität(50) ,Expedition: Gefechtskunde (50) ,Legendär
0,112813,Blobfisch,SunkenTreasure,CultureItem,,ABGRÜNDIGE TIEFEN,Attraktivität(30) ,,Selten
0,112815,Kronenqualle,SunkenTreasure,CultureItem,,ABGRÜNDIGE TIEFEN,Attraktivität(30) ,,Selten
0,191075,Rentier,The Passage,CultureItem,,ARKTISCHE TUNDRA,Attraktivität(30) ,,Selten
0,191076,Moschusochse,The Passage,CultureItem,,ARKTISCHE TUNDRA,Attraktivität(30) ,,Selten
0,191086,Polarwolf,The Passage,CultureItem,,ARKTISCHE TUNDRA,Attraktivität(30) ,Expedition: Kampfkraft (20) ,Selten
